name,avg_rating,description,category,price_range,location_type
Salma's Authentic Lebanese Cuisine,4.5,"A renovated place with a great seating inside and outside next to the pool , very diversified menu with a great taste. Recommended The food was excellent, and the service even more so. My server, Sunday was very patient,polite and friendly. He explained the menu through and through and also suggested some great options. The ambience was great and welcoming. It was a beautiful experience. Very good Lebanon restaurant, with tasty food, great location and good atmosphere. The meals are offering a great choice and variety.",Casual Dining,Moderate,Island
Scotch Bonnet Restaurant,4.5,"I must say #BRUNCH and Holiday dining is a delight here. They started an hour later for Christmas Day, but they addressed all of us. The patrons we were gifted appetizer platters to recognize us for being patient with the delayed start. 

Translation: small chops...that included snail which ain't cheap. 

Unlimited Chapman, Sparkling Wine and a whole turkey with smoked lion cut pork chops with a honey bourbon glazed were the premium meat items.
While cheeseburger slider size, various salads and delicious chicken pepper soup were offered. 

They have a great mix of Local Entrees and Western dishes as my entire crowd was appeased. 

Why 5 stars if things were late?
This is and was the 1st place that a member of management or owner checked on us a la American style to ask, ""How are things?"" To get actual feedback is a service that improves the restaurant and helps customers feel appreciated. 

The Singer with the band was wholesome and interacted well with kids and adults. Now, the cherry on this sundae is IF YOU PREPAY YOU SAVE MONEY. This can be problematic for foreigners as we can't transfer like the locals. 

They are responsive and communicative via social media. Mostly Instagram as that's how I found the place and look forward to hosting events there in the future.More Nicely tucked away off Idejo St behind the Stanbic building in Victoria Island. 

Decor is modern and the space looks well run. I usually use the toilet as it gives you a good idea of how well they might be managing the kitchen space. In...this case, they passed the litmus test..not in flying colours i have to say.

Anyway they have an excellent life jazz band on the day and i hear it is weekly too. Did i hear you say that is not the main reason why you go to a restaurant...I agree with you. So to the food

The restaurant is a curious mix of style; nigerian or local, continental and some form of seafood. The key point here is that they cater to broad range of palate so there is probably something here for everyone. The most important thing in my opinion is that everyone enjoyed their meal so i can recommend the food.

The negative for me was the parking arrangement. I went with a driver so i don't know how he resolved it but there didn't appear to be too much space.

Overall, i think it is a nice, well designed and decorated space that serves a broad range of well cooked tasty meals...and good music accompaniment.More Great experience. The food was well served and neatly prepared. I will always go back there. Nice staff also",Fast Food,Budget,Island
Seven Eagles Spur,3.5,"Precious must go far. Her customer service is topnotch. Was she trained by a south African!!! I'll rate her the best. Dear Afomao2023,

Thank you so much for your review. We are so happy that Precious was so accommodating, and we'll be sure to pass on the kind words.

We look forward to having you dine with us again soon.

Kind regards, 
Spur Team I think Precious in seven eagles deserves an award for excellent customer service. She made my experience at spur worthwhile",Casual Dining,Moderate,Island
Shades Lounge,4.0,"If you are looking for a good value, friendly bar style dining experience, then there is none better around than Shades. This is a gem of a place to visit. The real Bature Ale, brewed locally with hops from Kent is superb, the fish & chips is better than you would find in England as is all the food, multiple sports screens allowing any sport to...be watched, ample parking outside, great atmosphere inside. It’s like British Pubs used to be, which is no surprise as it’s run by Andy from Lancashire who is a professional publican.      Go for a quiet drink or mix with the eclectic regulars, no where in Lagos beats it. The Monday night Quiz starts at 7pm where you can join a team or bring your friends along. Shades is recommended any day or nightMore Very Slow food service. Food not good and not what was discrribed on the menu. Hostess never even walked over to me to welcome me and see how was doing. Place was empty yet waited 30 minutes for a smallo order of Luke warm nachos....Don't recommend!More",Local Buka,Moderate,Island
Sherlaton Indian Restaurant,4.0,"Sherlaton Restaurant is a place I've known about for many years, so you could say 'it's reputation precedes it'!😆 I first heard about Sherlaton when I used to visit Lagos as a young lady in the early and mid 90s. I've never had the pleasure...of dining here. 4 out of my 4 daughters adore Indian Food, and I was with 2 of them on this visit to Lagos, so it was the perfect opportunity for my maiden visit to Sherlaton Finest Indian Cuisine. It's located in the Cumberland Luxury Hotel, inside a part called Nirvana Lotus Hall. Access to the restaurant is via a short stairway, onto a first floor. The location is a good one- on Adeola Odeku Street/Ahmadu Bello Way- a very central area of Victoria Island. 

The restaurant is expansive, with vibrant Indian accents and decorative artifacts. The decor/furniture looked a bit outdated and old-fashioned, yet orderly and well maintained. Toilets were squeaky clean. I know Sherlaton has been open for a very long time, but I had no idea that they've been operational since 1976! 😲 How remarkable! Our waiter, (didn't catch his name), brought us their first ever menu in a picture frame. Please refer to the posted photo of it. How cool is that!?!? 😎 What an awesome memento/piece of history/snapshot in time. The menu back then was a lot more modest. 😄 Meanwhile, on Sherlaton's current menu, Monday is Dosa Day, but Indian, Nigerian and Continental Chinese Dishes are still served on this day. They also serve Breakfast- (from 6:30 a.m to 10:30 a.m) daily. Service was impressive. Didn't find any fault as far as any of the staff was concerned. Food came out in a short amount of time.

Sherlaton Restaurant has an extensive menu that includes SOUPS, NIGERIAN CUISINE, INDIAN VEGETARIAN STARTERS, INDIAN NON-VEGETARIAN STARTERS, VEGETARIAN MAIN COURSE, CHEF'S SPECIAL INDIAN THALI (Vegetarian & Non-Vegetarian), RICE, INDIAN BREADS, CONTINENTAL VEGETARIAN STARTERS, NON-VEGETARIAN MAIN COURSE, CHINESE VEGETARIAN, CHINESE NON-VEGETARIAN, RICE & NOODLES, SANDWICHES (Plain/Grilled), ACCOMPANIMENTS, DRINKS, DESSERTS, COCKTAILS, SHOTS, MOCKTAILS, SOFT DRINKS, JUICES and plenty of ALCOHOLIC BEVERAGES. 

We were not very hungry, having had a rich buffet breakfast at a hotel not too long ago, so we ordered MUTTON SAMOSA, CHICKEN TIKKA ROLLS, CHICKEN SPRING ROLLS as our Starters, and CHICKEN TIKKA MASALA for our Main Course, then a BUTTER NAAN and CHEESE NAAN for our Bread(s). We got the VIRGIN MOJITO for our Drinks. Everything was delicious and tasted very authentic. The pastry for the Mutton Samosas was too dry and a bit on the hard side, but the filling was rich and packed with meaty goodness. 

The Chicken Spring Rolls were yummy, but I thought the pastry would be like the regular thin spring roll pastry, not the oily pakora kind. It tasted like deep fried pancakes. The Cheese Naan wasn't nice because it was too oily. That grease overwhelmed the bread and gave the cheese a weird, plasticky consistency. The Butter Naan on the other hand was soft, buttery and flaky, but in all honesty- I've had better. The Virgin Mojito Mocktail was just okay, slightly overpowered by the plentiful mint in it. Our favourite dish was the Chicken Tikka Rolls! They were juicy, spicy, well seasoned and packed with tons of flavour. 

We enjoyed the food at Sherlaton Restaurant, and I can definitely see myself coming back here to sample many more items from their copious menu. Prices were very reasonable- especially for a city as expensive as Lagos, so kudos to Sherlaton Restaurant for keeping it 'economical'.👍🏽The food is very decent, even though I must say that I expected a little more from an eatery that's been in business for over 47 years. It was disappointing that they screwed up Naan Bread, which for an Indian Restaurant is not acceptable as far as I'm concerned. This is single-handedly the reason why I couldn't give them a 'very good' rating. Had there been a 'good' rating on TripAdvisor, I'd have gone for that, so it's gonna have to be an average from me for Sherlaton Finest Indian Cuisine. However, I must say that given the fact that they've been open for such a long time, they have to be doing something right, so who the hell cares about what little ol' me has to say about them!!! 😂 Therefore, CONGRATULATIONS to Sherlaton Restaurant for this amazing accomplishment! 👏🏼 🥳 An overall decent experience for us, so I'd go ahead and recommend them, albeit- not 'highly'.More This has now become our regular go to restaurant.  I think it's because they have been doing this for so long in Nigeria they make it look easy...the owner is always on hand to walk round the restaurant and greet guests. Food and drink quality...remains very good.More Amazing Indian food, lots of variety in food, bar available, buffet breakfast in Morning, they don’t accept international credit & debit cards this is a disappointment.",Fast Food,Premium,Island
Shiro Restaurant,4.5,"Trendy and Cozy ambience, variety of Asian cuisine, impressive collection of Japanese Whisky and Sake and other liquor, must visit to spend a couple of hours, as we went on Sunday with booking in advance, the place was extremely busy as they also have a...Sunday brunches. Food especially starters are excellent. Staff are very polite and helpful.More Hi,

Thank you for taking the time out to share your feedback with us. We are glad you enjoyed your overall experience and we look forward to welcoming you back in the near future and look into the service. We appreciate your valuable feedback and...More We had a awesome experience in Shiro (Landmark village). This was there always in our bucket list. We tried the Teppanyaki set menu, it covered good variety; soup, salad, salmon and vegetables, yaki udon noodles and the fried rice. Desserts and service was top notch...thanks to Lily, chef Aries for looking after us.More",Casual Dining,Moderate,Island
Sidewalk Lounge and Restaurant,3.0,"No doubt the ambience was ok. We had pre-booked and paid money to the manager - (would not mention her name) on the 9th of September 2023 to arrive by 4pm. We waited endlessly before the first set of dishes came out after 2 hours...!! We called severally but she was no longer picking our calls (typical Nigerian style). Staff on ground apologized insisting the message of us pre-booking was not passed across. You can imagine the frustration . Truth be told, Side-Walk messed up our evening. We were there to show off Nigerian hospitality to a foreign friend and send forth a colleague. Would not be going back there. Service was not top notch.More More than half of what is on the menu is""not available"" .
The food took up to 45 minutes if not an hour to arrive
The food when it eventually arrived was underseasoned. The spaghetti had too much oil in it to cause heartburn. 
The...ambience is the only good thing about that place but the menu and service, 0/10.

The mojito was wonderful.More This place is a cool evening or weekend hangout for couples or friends. Not the best around but good. Good ambience and outdoor setting with and without roof. The music was a bit too loud but I guess it's their brand. The illumination is their...best selling point in my opinion.More",Casual Dining,Moderate,Island
Slow,4.0,"Very nice restaurant with excellent food options and very friendly and quick service. The bar makes good drinks and the food options are varied enough for most tastes. The music and atmosphere is great also Amazing time at Slow with my family. Went for post shopping drinks and then returned for dinner. They were so accommodating of my son's unique dietary needs and went above and beyond to ensure he had a great meal. 

The bar offers lovely handcrafted cocktails...with the freshest ingredients and they are happy to go off the menu when asked (hint - ask for a Porn Star Martini and you won't be disappointed)More The seafood Frito misto Tasted bad and Burnt look black..I didn't enjoy it.
Same with the fries...I will give 2star",Fast Food,Moderate,Island
Smokey Bones Restaurant,4.0,"I ordered ribs and my friend had a sandwich. We both loved our food and I can't wait to try more. Thank you! If you love good ribs then this is a must visit. The ribs were yummy and the mashed potatoes were great too. The ambience could use a little more glow up but then again I don't mind if they keep making their ribs that good....Definitely adding this to my list of restaurants to visit.More Thank you so much for  your visit, please  do come back soon",Casual Dining,Moderate,Island
Soho,4.0,"Excellent chef, food was amazing. Each dish was unique and flavourful. Ambience is incredible, beautiful decor as well. Had a blast here, will definitely recommend visiting The food was soooo good!! My husband and I absolutely enjoyed the meal. The ambience was also nice.
Great staff ! ( Ene and Faith made it worth our while, thank you ladies) we are definitely coming back Have tried many Chinese restaurants in Nigeria. This is no doubt the best. Especially with Chef Chua's personal touch and signature dishes. Every dish is exceptionally good. You can feel the efforts the Chef has invested. Very authentic. Highly recommend it!",Casual Dining,Moderate,Island
Soi 13,5.0,"Enjoyed dinner here with a friend. I speak more for the atmosphere at the roof top space than the food which wasn't bad overall. Our order was mixed up and we were served a modified variant of the appetizer but the Manager made sure our...initially ordered items were brought at no extra cost even though we had eaten the first set. Portion sizes are reasonable and the pricing is moderate.More Had a really nice meal here after work. Food is very authentic, reasonably priced for VI and presented well and it was lovely and relaxing to sit outside,  above the hustle and bustle of rush hour as the sun was setting in a clear sky...- rare for VI. Will definitely be going again and trying other things on the menu.More Great to have found this gem on Victoria Island. Papaya salad is excellent, the spring roll nutella is also amazing (dessert). Awesome presentation of drinks. Also had the pleasure to attend one of their theme nights. Lots of fun!!!",Casual Dining,Moderate,Island
South Eatery and Social House,4.5,"South Social is the perfect name, because it's all about the people. An amazing spot to visit on busy nights, it's like being part of a  hyper Lagos family. 

I still think about the Jambalaya a lot, and the cocktails pack quite a punch.

It's...a bit less exciting on quieter nights (like on Sundays), but it's nice to sit on the swing outside and just take in Lagos.More For a steak out in Lagos on Victoria Isand, we enjoy the South. The atmosphere varies depending on the crowd but overall is a fun and very good evening out. we heard about the place time and time again. Great decor, minimalist... Waiters friendly, good excellent, prices very affordable, by Lagos standards.  Well done this! Thumbs up",Fine Dining,Budget,Island
Spice Route,4.0,"It is a great place to hangout at night 
With friends , families I had so fun. Wonderful experience Best Indian food in Lagos!
Week-end buffet is the best Indian meal we can have in Lagos restaurants. The management of this restaurant maltreats their Nigerian staff. They dehumanises them like  common slaves.",Casual Dining,Moderate,Mainland
Switch Lounge and Grill,4.0,I proposed her to my sweetheart. It was a surprise birthday party for my mum but unbeknown to my dad and brothers as well as my girlfriend at the time........i was thinking of something else. Whatever you order here just ensure you try their fish....It's their trademark and it's just magical. In summary......FISH!!!!More Quiet location- looks like a residential area.  Good ambiance indoor or outdoor.  Wide range of food and drinks and prices are comparable to similar restaurants.  Food is good and staff and management are nice. I actually worked here some years back... I still recall that people come from main land to eat our catfish grill and pepper soup with yam or plantain inside. You have to try that too.,Casual Dining,Moderate,Mainland
Syrian Club,4.5,"Their pizza is average but kebab is mostly good. The place is a relaxed one and super good for family., you can not find a better place for kids and family here The food is fine but if you have eaten Levantine food anywhere else in the world you won’t be blown away. However, the food is fresh, the service is fine and it has a nice playground area for children, plus lots of parking. The best fish I have had in Lagos is from this place, on the menu it's called Barbeque fish, it comes with an option of being spicy or normal spiced, with chops or salad. The fish is just outstanding, it is not by fluke ,...I have had it more than 2 times and it tastes the same and also the portion is good size. Just enjoy this.
Another item out of this world here is the tabulleh the fresh crunchy parsley Mediterranean salad . You will not know it tastes so good till you taste it  hats off to this restaurant.More",Casual Dining,Moderate,Island
Talindo Steakhouse,4.0,"It has been over 5 years since I was last here, I was quite impressed that quality has not slipped. Food was excellent,  wine was very good. Definitely one of the hidden gems in Lagos. Will definitely recommend and visit again! 

Well done! A great experience. The service was top notch. Would recommend this place for anyone visiting Lagos. Maybe this place used to be tops. I didn’t get that vibe upon visiting this restaurant. First off, the lack of a signboard to properly locate this place was non existent.. secondly, except if traditional was a vibe they are going for? It’s not westernized...enough. It reminds me of the good old days. The food is alright but could be better. Especially for the price charged.More",Fine Dining,Moderate,Island
Tantalizers,3.0,"Tantalizers was the one eatery I saw that was still in existence since my previous trip to Nigeria, almost a decade and a half earlier. 

With the market filled with more nimble competitors, the place (at least the branch I went to) had lost its...shine. Still, with decent food at an excellent price, it was still well patronized by locals. 

The Super Saver combo of fried-rice, chicken, and soft-drink I had, at the equivalent of $2 USD (including VAT), couldn't be beat. 

There's proper parking out front for about fix to six cars, and they have pickup and delivery. Cash (as always) is accepted, as well as local debit-cards. Plus there's a security guard and proper air-conditioning, in case anybody comes with hot-headed, none-sense. ;)More",Local Buka,Moderate,Island
Taverna Milano,3.5,"Food was ok, same as ambience but the refusal to have spicy food on their menu or worse case scenario chilli sauce is a no no Cristian (the owner and chef) succeed to transform the place into a gem, the food is excellent, the service is great and the wine is selected.... 
 The VIP room atmosphere is unique, we were 13 folks for dinner and all of us were unanimously pleased...!!!!!More I went on Thursday which is pasta night- pasta dish + wine or water for N4000. I opted for arrabiata, which was so lovely and tasty, as was the wine. We were given free tiramisu as the owner knew the person I was with; it...wasn’t the best tiramisu I’ve had but it wasn’t the worst either. I found it too creamy for my liking. I would definitely return to eat at this restaurant on a Thursday. The only down side is their cash machine wasn’t working; I was here on holiday and have an international card as I rarely carry cash.More",Fine Dining,Moderate,Island
Terra Kulture,4.0,"We went here for a business lunch.  Food menu was a bit difficult to comprehend without the help of our local hosts; food very tasty (and VERY spicy!).  Great little shop upstairs.  Would love to return when it is buzzing in an evening. I found the tastes of the meal I had below expectations, in addition the portion was really small and overpriced. My family and I had a great time at Tera while visiting from Sweden. Fantastic nigerian dishes. You can feast your eyes on great paintings while waiting for your meal. We had nothing to complain about. Highly recommended.",Local Buka,Premium,Island
Thai Thai,5.0,"A new colleague invited me to join her and some friends for dinner here.  I wasn't sure what to expect but was so happy to have Thai food in Lagos!  The food was awesome, and especially after visiting Thailand several times I know what is...'good'.  This was truly authentic. The papaya salad and green curry were awesome and spiced perfectly to my liking.  And yes, the restaurant even has Tiger beer. It was a great night with friends/colleagues. Thank you Thai Thai.  I'll be back.More This place is such a hidden gem! The decor and ambiance is extremely cozy and creative - tons of plants, candles and unique furniture. The food was so delicious and service was lovely. Will definitely be coming back. This restaurant is on the second floor of an ordinary apartment block behind security gates. You would not know the restaurant was there until they opened the door and let you in. There you see a hip and modern restaurant. The  very friendly and helpful...owner explained that they grew their vegetables in their own farm. Whatever they did, the prawn pad Thai I had was nothing short of fabulous. 

Hard to find but worth it.More",Casual Dining,Moderate,Island
The Backyard Bar and Grill,4.0,"The service was impeccable and breakfast was amazing. Would recommend to anyone looking for wide range of breakfast meals. Went with the whole family and some friends. The drinks were not representative of the names on the menu. We had to send the Chapman back as the kids refused to drink it. I tried to struggle through but gave up. Wife’s daiquiri was off...as well. To their credit the server did take the Chapman we didn’t send back away. What came  to replace it wasn’t a whole lot better. Definitely not a Chapman. 

Food took a while to come. The starters left a lot to be desired. The batter on the prawns was thick and leathery. The hummus wasn’t anywhere near Double Four standards, wings were over cooked and spicer than promised and disappointingly the yam chips were neither crispy nor fully cooked.

The imprecise cooking continued with the mains, with the burger patties burnt on one side and the lambs chops almost cremated. The steak medallions in the surf and turf were like hockey pucks and all the prawns were rubbery. There were some redeeming elements; the food was well seasoned, and the waitress attentive. Still like the plywood and cheap wood strips used for many of their fixture, weathered and rotting away, the glory of the establishment seems to have been drained in the past few years, perhaps slowing flowing next door.More Cesar Salad was good 
However
Lamp chops were like rubber could not even chew.
Had to fetch my own salt and drink which was waiting at the outside bar .
And when the waiter passed next to me he did not even rushed and  helped....
He was busy taking a pictures of another customer out in the patio. 

The mint lemon drink was good however the watermelon was the worst I have ever had .More",Fast Food,Budget,Island
The Blowfish Hotel,4.5,"Service was wonderful the food very tasty and the ambiance beautiful.Enjoyed every bit of it.
 Definitely coming back thank you for an awesome review we look foward to hosting you again soon.once again happy birthday Purple restaurant is always ready to serve you better 24/7 a day.
the restaurant has one of the best in terms of services render.",Casual Dining,Moderate,Island
The Deck at The Library,1.0,"I  would HIGHLY recommend that you AVOID this restaurant/bar/lounge. Not only is the service slow,  the staff unprofessional (from servers to managers to administration). I was overcharged N265,500 and none of staff seemed to care about this very serous error on their part. The whole...story is below...

My friends (who were visiting Nigeria for the first time), my husband and I went to the Library on recommmendation. When we arrived, the atmosphere was lively and we were quickly seated. Despite this, we probably waited around 20/25 mins to give our  order and another 30/40 mins to be served.
After paying, the server held on to my card for about 10 mins without explanation and started slowly backing away from the table. I assumed that maybe the charge didn't pass. When I asked her what the issue was and why she was holding on to the card, she asked me to hold on. I had to scold the server before she eventually handed me back the card while showing me the bill. She said nothing so it took me some time to relaize that she had added an extra zero to the bill making the bill 295k instead of 29,500. 
Highly annoyed at her mistake, the fact she somehow didn't think to explain immediately what happened or to apologize, I naturally asked how she planned to refund the overcharged sum (265,500). She asked me write down my name and bank information on a piece of paper and made it seem as if the transfer would be made that night. So we waited to have confirmation of the transfer, which never happened. We somehow now couldn't see/find this particular server anymore. We happened to spot her by the entrance, and seeing my increasing anger and irritation at the situation, my husband and one his friends went to speak to her. 
After 10 mins, I was fed up of waiting and decided to join them. I found them speaking to the manager. My husband, who is usually very calm, was livid - probably because the manager had a severe attitude and didn't really seem to care about what happened. Seeing the situation and my husband's unexpected reaction really pissed me off. The manager, John Maina, offered absolutely no suggestions/solutions. On top of that, he rejected our suggestions for a cash refund (he claimed that the Library didn't deal in cash - even though one of our friends staying at Maison Fahrenheit had seem someone pay in cash the night before) or for a bank transfer made that night (apparently only the accountant could do it and he/she wasn't on-site). 
He assured us that we would see the bank transfer the next morning. Being Nigerian and knowing how Nigerians are, I said that wasn't enough. There was no garantee that the accountant would acknowledge the promises Mr. Maina made. We told him to send us email from his professional account (with the accountant copied) explaining the situation and that a refund was required.
The next day we waited until 1pm and, of course, no transfer was made. So, my husband and I had to go back to speak to someone and make sure the refund was sent. When we finally got to speak to someone in the administrative office (Titi), she was very rude and implied that it was my fault for not looking over the bill before paying. Yes, I could have, and clearly should have, looked over the bill, but to insinute that this was my fault was exteremly unprofessional. Then instead of proceeding to issue the refund, Titi decided that she had more important business to attend to kept us waiting 15/20 mins before finally asking to verify my bank information. At the end of all this wahala, the cheapstakes didn't think it decent to refund me the full 295k for all my troubles.More",Fast Food,Budget,Island
The Grill by Delis,4.0,"We ordered steak and cooked fish (Morocco style) with some drinks, the service was good and the food really good..... nice place for business meeting Is there a customer care line for reservation? i have tried the lines i had previously but all are switched off. how can one make a reservation if there is no functional line to assist I had dinner with an old colleague here at this nice restaurant in Victoria. I arrived early (unusual for Lagos) so had a drink in the bar first, very competent bartender. 
 
We both had steak with nice sides including mushroom and spinach and shared a...good bottle of red wine.
 
Service was good, food was good and ambiance excellent.More",Fine Dining,Moderate,Island
The House,4.0,"Second time there. Has the best burger in town. Prices are super reasonable the service is great! Went for a Sunday lunch. Portions are large and more than enough. Atmosphere is great. Location central. Highly recommend! So I have been hearing lots about ""THE HOUSE"" and it's great! Service and ambient, then I decided to go look myself and boom!!! It was an amazing experience, they treated me like a rockstar or like a president in a foreign country, the experience...was second to none, the food was fascinating, the place they took me to is called the parlor, but the white room is dope!, It's just AMAZING!, A lot to talk about, but you can check it out yourself.More Went in for a nice quiet lunch and loved the service and the decor. The ladies at the front desk were friendly, professional and gorgeous!  Definitely would be returning.",Fast Food,Moderate,Island
The Jazzhole,4.5,"Absolutely loved the Jazzhole, full of atmosphere, very friendly staff and delicious cakes/drinks! Would love to return when they have an event on! Used my trip to the Jazzhole as a way of saying comfy and safe while my friend went to the market - and it was more than worth it! They have a huge and diverse (you wouldn't believe!) collection of all kinds of books from...novels to history to cooking and art. Was lucky to find two short story collections about Lagos there - and almost finished both of them while munching on two pieces of the famous carrot cake (absolutely delicious and worth all the comments!).
Take your time when coming here as the books are scattered and only roughly sorted - and for just enjoying one of your purcharses while you listen to some Jazz! 
The record collection is also huge - was just more into the books.More They have amazing records and books. I always go there to get some. I also went for a music show with an international Icon Nneka. It was amazing.",Casual Dining,Moderate,Mainland
The Long Bar Lagos,4.0,"Used to be my favorite hangout here in Lagos. Unfortunately not many normal customers these days yet too many very annoying hookers present. I've known the proprietor here, Dave Jeeves for quite some time, we have fished together. Decided to have a fillet steak with fries this evening and it was a pleasant surprise. Maybe I shouldn't have been surprised! Tender, juicy, flavourful and a real pleasure sitting...at the newly appointed outside bar. Ambiance was great, fans whirring above my head, ice cold Heineken, chasing a Jack. All round pleasant evening.More Thank you Edincot for your kind words, we appreciated your visitation and patronage.

We look forward to seeing you again",Fine Dining,Moderate,Island
The Sky Restaurant,4.0,"Ate lunch here for my birthday.
A lot of items on the menu were not available (I was really looking forward to the soft shell crabs and lobster). But the salmon was lovely. They also made a little brownie cake for my birthday and sang...as well.
The staff were very accommodating, allowing my parents to use some space to pray.More One thing that makes this resturant a place to be is the sky view when having cocktails. Had a buffet dinner which included big prawns & crawfish, chinese and nigerian dishes. When I searched for Malaysian food it flagged The Sky Restaurant. Excellent ambient and service but the asian food was below average especially the nasi goreng...
Would definitely go back but this is not the place for Malaysian/Indonesian food...",Fine Dining,Moderate,Island
Thistle Bar,4.0,"Nice place with good music.  Abass the bar tender is an awesome guy, good customer service and very attentive. You don't need to ask he just knows when you re thirsty. it’s under new management so has a totally revamped and fresh vibe, but has stayed true to its legacy of being a great place to hang out .
Had a night out with friends, drinks and food prices are brilliant .The food looked appetizing and...was really tasty  and on the top floor, the dj was on top of his game. 
Cost of drinks are very reasonable if you like to buy your spirits in bottles 
really really good vibe 👍🏽👍🏽More Oh my the drinks were all ice cold. The good and music was great. there was a live band that entertained well. The music was a bit too loud but lovely.
Great experience and indoors.",Casual Dining,Moderate,Island
Top Beans Coffee and More,2.0,"My journey with my coffee started with the Adetokunbo Ademola branch where I have keenly followed its growth and success.
Today my heart sank at the level of service offered at the wings branch.
Notably a lot of new staff and it showed in the...level of service.
My coffee is one of my favourite spots for breakfast and I would hate to not want to come here based on my experience in the past couple of weeks.
Hopefully this changes .
PS Sulaiman and George can be pleasant, it doesn’t hurt at a serviced restaurant.
I really want this to change please and thank you.More",Fast Food,Moderate,Island
Troy,2.5,Tried to visit yesterday afternoon for drinks with a friend. This bar is on a close with a narrow road and there were cars parked all the way down. There was one spot which 'security' blocked off directing us to find where to park by...ourselves. So we went to Salma's. Because I can't be begging people to take my money.More very okay they have the best disk jockey in lagos island for both new school and old school music . good security and nice pool,Casual Dining,Moderate,Island
Truffles Restaurant and Bar,3.0,"Food is OK. Average for Lagos. Could be tastier. Prices are relatively normal. The music was very loud. Located in a serene part of GRA ikeja,  easy to locate
Limited un-managed parking  
Decor is fair not 'riveting'.
Cards accepted for payment. 
From placing order  it took circa 15 minutes.
Food was good not fantastic, and slightly pricey
Very polite staff Nice secure location with tables for eating inside or outdoors. The gizzard was so tender it was amazing .Loved the ambiance.",Casual Dining,Premium,Mainland
Umutu Restaurant,4.5,"Lovely food and very cosy atmosphere helps to make an outing to Umutu worth the effort and every penny spent. The staff are pretty courteous and have an understanding of the menu. One of the good restaurants in Lagos. Earlier owned by European family and now managed by native Its fantastic example of continuity.
Food is perfect be it any recipe they cook. Same goes to friendly staff. This is a good Italian restaurant. Food is delicious but plates can be bigger. Service is very good and fast. Also international credit cards are working here.",Fast Food,Moderate,Island
Uptown Bar and Restaurant,4.0,"Service was good, food was great, didn't understand why smoking should be allowed in a 100% indoor restaurant?? Great food tho. Panoramic view, pleasant environment, very clean and friendly team delicious dishes that are supervised by  friendly and professional chef Badih, who goes out of his way to ensure that meals are made according to your taste. The Manager Ellie very friendly and helpful also makes...sure that your visit is memorable. The place is delightful with their presence.   

Don't miss out on Lemon chicken dish, among other delicious dishes and best virgin Mojito in town.

Best wishes,
TaniaMore Wow. Where to begin? The service is fast and friendly. The restaurant, on the top floor of the hotel is clean and well designed with views of all of Eko-Atlantic from your seat. While it wasn't cheap, every single thing I and my friends had...was delicious. From the bread to the pasta, the steak to the salads, you can't go wrong on the menu. But what amazed me was the sushi - the best I've had anywhere in Africa. Apparently they get it flown in fresh every week. I was very impressed and will certainly be returning on my next visit to Lagos.More",Fast Food,Budget,Island
Utopia,4.0,"I visit this place often for a beer after work or meals. Service is always very good. Great Menu, great food ... always welcomed back as an old friend. Very quiet place not part of the maddening crowd so very seldom filled to capacity ....Music remains in the background which for Nigeria is a welcome escape.More I went on a Saturday night at around 10 pm. I expected it to be heaving with people but I think my friend and I were the only two people there (in fairness it was an election Saturday which have materially affected the number of...customers). There was no music playing when we entered but having sat down the music started. I asked if they could turn it off and was told that they couldn't (as the only people there, their refusal begs question about their customer responsiveness),

The menu is varied and covers burgers, chicken, steaks and a bunch of other foods. I selected the Sticky Chilli Beef with Jollof Rice, my friend opted for the Utopia Burgert and fries. Given that the restaurant was not busy there was a long wait for the food to arrive.

When it did arrive the Chilli beef was ok but not spectacular. It was not particularly spicy but was sticky and was beef!! The portion size was ok. The Jollof rice was bland. My friend enjoyed his Utopia burger which included ham and egg.

The price for a burger is more than you would pay at Johnny Rockets and not as good. The chilli beef is more than you would pay st s medium priced Chinese restaurant and not as good.

There's nothing significantly bad about this place. Maybe going at a busier time would have made the atmosphere more conducive to a positive customer experience. As it was, everything was ok apart from the waitress who was very good. It just wasn't a good value for money experience.More Food was well made and waiters were very responsive and helpful. Enjoyed my time there. Will recommend for anyone looking for well made chicken in cheese sauce.",Fast Food,Moderate,Island
Vanilla Moon,4.5,"I loved the place. The food was amazing l. The food came out very fast. I think that this was worth the experience. The chef’s are also fantastic. Had a great time with my family and customer service was top notch! Keep up the great work guys! Cheers! Beautiful space, excellent customer service, nice food and I had great company. 

We had pasta which was at least an 8.5/10 and the drinks were perfect😍",Fast Food,Moderate,Island
VeggieVictory,4.0,"We absolutely loved Veggie Victory, and being vegetarian in Lagos, it is difficult to find good veggie food here! 

Veggie Victory is now at Dolphin Estate, give them a call when you get to the Estate to find the exact house (there isn't a sign)...- but don't worry, its a lovely sit down restaurant. 

For tourists, this place is a great spot to try many local Nigerian dishes, with specifically vegetarian/vegan options! We loved everything we ordered, the staff were lovely and the food came quickly. Prices are totally reasonable, if anything on the cheap side! Cannot recommend more highly!More Its a takeaway only and no longer in freedom park. It is now based in Dolphin estates but its not a restaurant. Well acclaimed Nigeria’s '1st' Vegan food company – brings a healthier and more sustainable lifestyle to Nigeria through plant-made food.well",Fast Food,Budget,Island
